MOVIE_NAME,GENRE,RATINGS,VOTING_COUNTS,DURATION
3391 Kilometres,ROMANCE,4.3,1200.0,110
Marmalade,ROMANCE,6.3,3700.0,99
Good Bad Things,ROMANCE,5.7,224.0,96
Why Do You?,ROMANCE,5.3,449.0,103
Qalb,ROMANCE,6.5,2400.0,147
From Contract Lover to the Billionaire's Bride,ROMANCE,6.9,542.0,84
Plan B,ROMANCE,6.1,1400.0,90
"Love, Divided",ROMANCE,6.0,4700.0,98
Love Story,ROMANCE,5.5,424.0,125
Langue Étrangère,ROMANCE,6.7,527.0,101
Two to One,ROMANCE,6.1,795.0,116
Futra Days,ROMANCE,4.2,156.0,99
El Hawa Sultan,ROMANCE,6.5,782.0,136
Freedom,ROMANCE,5.9,1400.0,110
Still Fabulous,ROMANCE,4.9,872.0,92
Murder Mubarak,ROMANCE,5.8,51000.0,140
The Groomsmen: First Look,ROMANCE,6.1,395.0,82
Savi,ROMANCE,6.1,35000.0,126
Auron Mein Kahan Dum Tha,ROMANCE,6.5,41000.0,150
Believe in Christmas,ROMANCE,6.1,846.0,90
Gelin Takimi,ROMANCE,3.8,3800.0,109
Rasavathi,ROMANCE,6.4,579.0,148
We're All Gonna Die,ROMANCE,8.2,96.0,110
C4 Cinta,ROMANCE,8.0,148.0,167
Mascarpone: The Rainbow Cake,ROMANCE,6.1,519.0,105
Breakup Season,ROMANCE,6.3,598.0,102
Wild Wild Punjab,ROMANCE,6.2,16000.0,109
The Time of Fever,ROMANCE,8.0,699.0,101
Three Friends,ROMANCE,6.6,782.0,117
Passport to Love,ROMANCE,6.2,415.0,88
5lbs of Pressure,ROMANCE,5.2,1700.0,111
Else,ROMANCE,6.0,250.0,102
City Hunter,ROMANCE,6.3,5700.0,102
Haunted Heart,ROMANCE,4.8,496.0,128
Her Story,ROMANCE,7.6,1900.0,123
Phir Aayi Hasseen Dillruba,ROMANCE,5.8,6900.0,132
Given 3: To the Sea,ROMANCE,7.9,105.0,80
Umjolo: The Gone Girl,ROMANCE,4.4,280.0,92
My Ex's Wedding,ROMANCE,8.6,49.0,95
Amar Singh Chamkila,ROMANCE,7.8,16000.0,145
Meet Me Next Christmas,ROMANCE,5.7,8600.0,105
Timestalker,ROMANCE,5.5,3000.0,89
Do Aur Do Pyaar,ROMANCE,6.4,12000.0,140
