MOVIE_NAME,GENRE,RATINGS,VOTING_COUNTS,DURATION
Munkar,HORROR,5.2,538.0,87
Rippy,HORROR,4.2,935.0,83
Destroy All Neighbors,HORROR,5.3,2100.0,85
#AMFAD: All My Friends Are Dead,HORROR,4.5,1300.0,91
Solitude,HORROR,6.3,39.0,97
Invasive,HORROR,5.6,782.0,97
Hide N Seek,HORROR,8.8,2200.0,134
Handsome Guys,HORROR,6.5,921.0,101
Shelby Oaks,HORROR,5.9,250.0,99
Bloodline Killer,HORROR,4.3,5000.0,105
Carved,HORROR,4.4,2800.0,95
Bureau 749,HORROR,4.0,565.0,123
Little Bites,HORROR,4.7,1300.0,105
Terminator: Skynet Rising,HORROR,6.6,276.0,88
Parvulos,HORROR,6.6,348.0,119
The Witch: Revenge,HORROR,5.3,859.0,100
Hell Hole,HORROR,4.5,1300.0,92
Crescent City,HORROR,3.9,1400.0,103
The Dead Thing,HORROR,4.8,980.0,94
Please Don't Feed the Children,HORROR,5.5,68.0,94
The Curse of the Necklace,HORROR,4.5,1100.0,99
Ick,HORROR,5.6,208.0,87
Something in the Water,HORROR,4.1,4900.0,86
Do Not Enter,HORROR,5.3,637.0,85
Cinderella's Revenge,HORROR,3.8,1200.0,85
A Fisherman's Tale,HORROR,6.1,136.0,103
Year 10,HORROR,5.4,2000.0,96
Cinderella's Curse,HORROR,3.3,1300.0,82
Are You There?,HORROR,6.4,64.0,88
Out Come the Wolves,HORROR,4.7,1600.0,86
Swap,HORROR,2.9,352.0,86
Goldilocks and the Three Bears: Death and Porridge,HORROR,2.1,1900.0,82
Grave Torture,HORROR,6.2,3000.0,117
Love Me Dead,HORROR,6.7,42.0,87
Latency,HORROR,4.2,2800.0,94
Street Trash,HORROR,4.5,919.0,85
Death's Sonata,HORROR,7.9,345.0,103
Seven Cemeteries,HORROR,4.6,644.0,84
Angels Fallen: Warriors of Peace,HORROR,4.9,5800.0,103
Death Whisperer 2,HORROR,6.3,1500.0,110
Krazy House,HORROR,4.8,1500.0,89
Wind and Bone,HORROR,6.1,14.0,93
Soul Reaper,HORROR,5.8,302.0,112
#MissingCouple,HORROR,5.3,690.0,93
Turno Nocturno,HORROR,5.3,644.0,107
We Are Wolves,HORROR,3.4,266.0,97
Murder Mubarak,HORROR,5.8,51000.0,140
Succubus,HORROR,3.5,863.0,96
Bogieville,HORROR,5.5,327.0,108
Orang Ikan,HORROR,6.2,78.0,83
The Jack in the Box Rises,HORROR,4.1,806.0,92
1978,HORROR,5.4,248.0,76
The Devil's Disciples,HORROR,8.7,41.0,82
Desert Road,HORROR,6.8,165.0,90
Crackcoon,HORROR,3.6,433.0,88
Invader,HORROR,5.7,69.0,70
12 to Midnight,HORROR,3.6,290.0,96
Within the Pines,HORROR,6.7,17.0,73
Cellphone,HORROR,3.0,740.0,88
Camp Pleasant Lake,HORROR,3.3,2400.0,90
Jimmy and Stiggs,HORROR,6.0,75.0,80
Strange Harvest,HORROR,6.7,69.0,94
Butchers Book Two: Raghorn,HORROR,4.1,637.0,88
The Stalking,HORROR,3.6,48.0,72
The Little Mermaid,HORROR,3.5,203.0,89
Seeds,HORROR,4.9,200.0,82
The Demon Disorder,HORROR,4.8,1300.0,86
Else,HORROR,6.0,250.0,102
Uninvited,HORROR,5.3,114.0,93
Model House,HORROR,4.0,1100.0,85
Another Cabin in the Woods Movie,HORROR,4.8,217.0,77
Sorop,HORROR,5.4,209.0,103
Believer,HORROR,4.6,419.0,108
Cora,HORROR,4.6,930.0,104
Dirty Boy,HORROR,8.1,24.0,98
The Family Business,HORROR,8.7,29.0,89
Peripheral,HORROR,8.9,26.0,88
Operation Blood Hunt,HORROR,3.4,503.0,93
DarkGame,HORROR,4.6,2900.0,100
Festival of the Living Dead,HORROR,4.3,664.0,88
House of Ashes,HORROR,6.9,35.0,95
Noise,HORROR,6.0,61.0,95
Butchers Book Three: Bonesaw,HORROR,5.1,106.0,107
The Vampire Next Door,HORROR,4.6,780.0,110
X Files,HORROR,2.3,67.0,74
Devils Stay,HORROR,4.9,310.0,95
You Can't Run Forever,HORROR,4.5,4400.0,102
Amityville: Where the Echo Lives,HORROR,1.5,410.0,89
Ghost Game,HORROR,3.4,332.0,86
Mom,HORROR,5.2,200.0,95
.ask,HORROR,6.9,68.0,89
A Hell of a Difference,HORROR,5.1,35.0,80
Mutants of Nature Cove,HORROR,3.5,157.0,88
Hauntology,HORROR,3.7,362.0,103
Deadly Retreat,HORROR,5.2,95.0,46
Nyctophobia,HORROR,7.0,1800.0,90
Consumed,HORROR,3.7,622.0,89
Pacific Fear,HORROR,3.4,229.0,85
Somnium,HORROR,8.5,47.0,92
Down Below,HORROR,2.6,193.0,93
Heresy,HORROR,6.9,309.0,61
Strange Frequencies: Taiwan Killer Hospital,HORROR,6.5,61.0,91
Creep Encounters,HORROR,4.3,120.0,72
Stream,HORROR,4.1,29.0,85
Animale,HORROR,5.9,321.0,98
Pigman,HORROR,3.2,105.0,98
Riders,HORROR,6.4,503.0,105
The Ceremony Is About to Begin,HORROR,4.5,737.0,70
Thaghut,HORROR,5.8,318.0,102
The Forbidden Camp: Mass Possession,HORROR,6.1,342.0,112
Black,HORROR,7.1,2800.0,115
Hunting Matthew Nichols,HORROR,8.8,46.0,96
The Lost Daughter,HORROR,5.9,303.0,99
The Legend of Lake Hollow,HORROR,3.8,531.0,88
Heretics,HORROR,5.7,40.0,83
The Hangman,HORROR,3.3,1000.0,92
Went Up the Hill,HORROR,6.7,81.0,100
Lumina,HORROR,2.2,687.0,113
Slay,HORROR,6.5,1200.0,99
Poison Sangga: The Homewrecker's Curse,HORROR,6.8,344.0,118
Monster on a Plane,HORROR,5.1,2300.0,88
A Herança,HORROR,5.3,216.0,80
Haunt Season,HORROR,4.9,806.0,81
Haunted Universities 3,HORROR,5.4,320.0,119
Killer Body Count,HORROR,4.7,667.0,109
Cocaine Werewolf,HORROR,2.4,306.0,80
Kang Mak,HORROR,6.4,860.0,122
Solvent,HORROR,7.3,428.0,94
In Search of Darkness 1990-1994: A Journey Into Iconic '90s Horror,HORROR,7.9,141.0,363
Mononoke the Movie: The Phantom in the Rain,HORROR,6.8,1300.0,89
Alyad Palyad,HORROR,6.8,1200.0,129
Curse of the Seven Oceans,HORROR,5.6,486.0,94
Bystanders,HORROR,3.9,339.0,82
A Stranger in the Woods,HORROR,5.0,703.0,83
What Lurks Beneath,HORROR,4.3,793.0,102
La Patasola,HORROR,2.5,65.0,92
Curse of the Naked Ghost Hunters,HORROR,5.1,14.0,35
Territory,HORROR,4.7,88.0,93
Freelance,HORROR,4.8,366.0,110
HMM Hug Me More,HORROR,6.2,1100.0,102
The Train of Death,HORROR,4.7,710.0,103
In Our Blood,HORROR,6.9,47.0,89
Mother Goose's ScaryTales,HORROR,6.3,7.0,54
Siccin 7,HORROR,4.0,980.0,94
Dancing Village: The Curse Begins,HORROR,5.7,4200.0,122
What Happened to Suzy,HORROR,6.4,82.0,94
Unspeakable: Beyond the Wall of Sleep,HORROR,6.1,58.0,90
Test Screening,HORROR,6.9,67.0,92
Scared to Death,HORROR,6.4,33.0,98
The Waves of Madness,HORROR,5.9,92.0,68
Cadi,HORROR,6.4,4400.0,134
Jhamkudi,HORROR,6.6,983.0,151
Wanita Ahli Neraka,HORROR,5.1,280.0,95
Horror in the High Desert 3: Firewatch,HORROR,5.4,754.0,88
Buzz House: The Movie,HORROR,3.2,1300.0,93
Kakuda,HORROR,5.4,6400.0,116
Hide and Seek,HORROR,4.9,149.0,84
Dominion of Darkness,HORROR,5.7,839.0,96
Scarytales and Deadtime Stories,HORROR,4.9,10.0,67
Where is My Head?,HORROR,6.8,82.0,90
Delicate Arch,HORROR,5.6,44.0,85
H. P. Lovecraft's the Old Ones,HORROR,3.6,399.0,84
Curse of the Sin Eater,HORROR,4.9,784.0,90
Devon,HORROR,2.6,301.0,72
Monster Mash,HORROR,3.5,439.0,85
Biaz: Kara Iyenin Laneti,HORROR,5.3,384.0,89
Aranmanai 4,HORROR,5.0,2400.0,148
Gacy: Serial Killer Next Door,HORROR,3.3,485.0,97
Remnant,HORROR,2.6,326.0,112
Alien Country,HORROR,4.4,373.0,96
Suckers,HORROR,3.2,126.0,67
Nokturno,HORROR,3.7,227.0,99
Shaman,HORROR,5.5,45.0,100
Last Night at Terrace Lanes,HORROR,4.4,642.0,75
Drained,HORROR,4.5,321.0,107
The Hostage,HORROR,5.4,12.0,87
The Windigo,HORROR,4.7,713.0,85
Salve Maria,HORROR,6.4,500.0,111
The Monster Beneath Us,HORROR,5.6,434.0,103
Witch,HORROR,4.9,1400.0,107
The Ritual,HORROR,3.3,15.0,100
Life of Belle,HORROR,5.0,665.0,73
Sattam En Kaiyil,HORROR,7.9,2300.0,124
Üç Harfliler: Nazar,HORROR,4.8,166.0,94
Geethanjali Malli Vachindi,HORROR,4.9,2200.0,144
Replicator,HORROR,3.8,146.0,75
404 Run Run,HORROR,5.7,445.0,104
Darling,HORROR,5.3,753.0,159
Scared Shitless,HORROR,6.1,225.0,76
Mother Father Sister Brother Frank,HORROR,5.8,276.0,85
Horny Teenagers Must Die!,HORROR,3.2,242.0,84
Tenants,HORROR,4.3,120.0,94
Unnatural,HORROR,3.7,139.0,103
Clickbait: Unfollowed,HORROR,4.9,582.0,90
Snakeeater,HORROR,5.3,268.0,80
Vampire Zombies... From Space!,HORROR,7.4,103.0,98
Sayuri,HORROR,6.3,319.0,108
I Heart Willie,HORROR,6.0,109.0,88
Guna guna istri muda,HORROR,5.1,196.0,98
My Boo,HORROR,6.1,711.0,125
Stupid Games,HORROR,4.2,397.0,86
(Pri)sons,HORROR,5.0,287.0,100
Operation Undead,HORROR,4.7,428.0,110
Kromoleo,HORROR,3.9,257.0,80
The Prodigy,HORROR,4.8,35.0,83
Death Streamer,HORROR,3.1,229.0,72
Rita,HORROR,5.7,288.0,107
Kalinga,HORROR,5.9,7600.0,116
Members Club,HORROR,4.6,172.0,90
Sakaratul Maut,HORROR,5.4,180.0,107
The Redemption of Sin,HORROR,5.8,218.0,116
Blood Debt,HORROR,5.5,173.0,100
The Backrooms,HORROR,8.1,14.0,63
Cara,HORROR,6.9,47.0,96
Vina: Before 7 Days,HORROR,5.4,603.0,100
